31.01.2026 | Ralli | 61.  Arctic Lapland Rally | Rovaniemi ,Kemijärvi, Ranua ja Posio | AKK
31.01.2026 | Autosuunnistus | AS SM Klapitehtaan Kierros | Ala-Talkkari Areena | AKK
31.01.2026 | Ralli | Rengas Turku harjoituskilpailu | Sauvo | AKK
31.01.2026 | Ralli | Viinijärvi Ralli | Viinijärvi | AKK
01.02.2026 | Pienoisautoilu | Eurosarja 1 Kotka | Kotka | AKK
01.02.2026 | Rallisprint | Sinisalon Auto Rallisprint, Kouvola | Kouvola | AKK
07.02.2026 | Ralli | Laukaa-Uurainen talviralli | Laukaa - Uurainen | AKK
07.02.2026 | Ralli | Tuuri Historic Ralli | ALAVUS | AKK
07.02.2026 | Jäärata | Paltamo SM Jäärata 1. | Paltamo asemanranta | AKK
08.02.2026 | Rallisprint | 2. Jäsentenvälinen | Kitee Race & Event | AKK
08.02.2026 | Jäärata | Paltamo SM Jäärata 2.  | Paltamo asemanranta | AKK
14.02.2026 | Autosuunnistus | IV Vesala AS | Hämeenkyrö,Sastamala | AKK
14.02.2026 | Rallisprint | OUA SM Rallisprint 2026 | Oulu Sanginjoki ,perintein EK. 3,75 km | AKK
15.02.2026 | Jokkis | Akaa JM Talvimestaruus  | Toijalan satama | AKK
15.02.2026 | Pienoisautoilu | FTT & 12TT II  Äänekoski 2026 | Äänekosken Pienoisautoilijat RY:n sisärata | AKK
15.02.2026 | Jokkis | M. Karjalainen JM Talvimestaruus | Paltasen Autourheilukeskus | AKK
15.02.2026 | Ralli | Kehitys-ja testaustilaisuus | Lammi, Hämeenlinna | AKK
15.02.2026 | Rallisprint | Reijo Mehtälä Oy SM-Sprint | Siikajoki | AKK
20.02.2026 | Autosuunnistus | Laihian AS Puulaaki | Alkiontie 6, 66400 Laihia | AKK
21.02.2026 | Ralli | Itä-Suomen Ralli | Leppävirta | AKK
21.02.2026 | Ralli | Nisula Forest Rally | Jämsä | AKK
21.02.2026 | Ralli | TerUA Harjoituskilpailu | Tervakoski | AKK
21.02.2026 | Jäärata | Ylivieska SM Jäärata | Paskalanneva | AKK
22.02.2026 | Rallisprint | GGTURBO-Sprint | Mäntyharju | AKK
22.02.2026 | Jäärata | Ylivieska SM Jäärata  | Paskalanneva | AKK
22.02.2026 | Jokkis | Ähtärin Talvi-JM | Ähtäri, Mekkoranta | AKK
28.02.2026 | Ralli | SM Auto Sorsa Riihimäki-ralli | Riihimäki | AKK
28.02.2026 | Rallisprint | Koneurakointi Jarkko Kosunen Rallisprint | Heinjoen moottoriurheilukeskus | AKK
28.02.2026 | Jokkis | Saarijärvi JM | Saarijärvi | AKK
01.03.2026 | Rallisprint | 3. Jäsentenvälinen | Kitee Race & Event | AKK
07.03.2026 | Ralli | XXII Kangasniemi Ralli / Seuran 60v. juhlaralli | Kangasniemi | AKK
07.03.2026 | Rallisprint | Leppävirta Racing Team Jäsentenväliset | Rantasalmen Moottorirata | AKK
08.03.2026 | Pienoisautoilu | ISRA Warmup #1 | Kotka | AKK
08.03.2026 | Pienoisautoilu | FinTrack Tour & 12Track tour 3 | Hyvinkää | AKK
14.03.2026 | Ralli | Itä-Suomen Ralli | Rautavaara | AKK
21.03.2026 | Jokkis | Alkkulan jää JM | Ylitornio, Alkkula Tornionjoen jää  | AKK
28.03.2026 | Autosuunnistus | AS IV Savon Suhhaas | Siilinjärvi | AKK
29.03.2026 | Pienoisautoilu | FinTrack Tour & 12Track tour 4 | Hyvinkää | AKK
11.04.2026 | Jokkis | Ala-Talkkari Areena Asfaltti JM | Ala-Talkkari Areena | AKK
11.04.2026 | Rallisprint | Asfalttisprint | Alastaro | AKK
19.04.2026 | Pienoisautoilu | Eurosport SM 2026 - Kotka | Kotka | AKK
19.04.2026 | Jokkis | 26. KUPLA-Kuhmut | Risten Rata, Kokemäki | AKK
25.04.2026 | Jokkis | Kevät JM | Hangassuon JM rata | AKK
25.04.2026 | Ralli | Oili Jalonen harjoituskilpailu | Pöytyä | AKK
26.04.2026 | Karting | Kevätpäräys 2026 | Porin FK Rata | AKK
02.05.2026 | Ralli | Rengas Turku harjoituskilpailu | Salo | AKK
03.05.2026 | Jokkis | XXXV Asfalttikunkku | Kemoran moottorirata | AKK
09.05.2026 | Drifting | Chicago Drift | Lahden urheilu- ja messukeskus | AKK
09.05.2026 | Crosskart | Crosskart SM Pieksämäki | Paltasen autourheilukeskus | AKK
09.05.2026 | Jokkis | Huittisten Laatupalvelu JM | Kuninkaisten moottorirata,Huittinen | AKK
09.05.2026 | Jokkis | Äitienpäivä JM | Tykkimäen moottorirata Kouvola  | AKK
10.05.2026 | Rallisprint | Auto-Din SM Asfaltti Sprint | Horsbäck ( Teollisuusalue ) | AKK
10.05.2026 | Karting | IAME Nordic Cup 2026 | Mika Salo Circuit | AKK
14.05.2026 | Jokkis | Heinolan Helatorstai JM | Komostenkylän JM rata Heinola | AKK
14.05.2026 | Jokkis | Pesämäki Helatorstai JM | Pesämäen moottoriurheilukeskus | AKK
16.05.2026 | Rallicross | 1. Rallicross SM Hyvinkää | Hyvinkään Vauhtipuisto | AKK
16.05.2026 | Ralli | Raisio ralli | Raisio | AKK
16.05.2026 | Jokkis | Kevät-Mylly | Ylämyllyn Moottoriurheilukeskus | AKK
16.05.2026 | Jokkis | Särkikangas JM | Särkikankaan moottorirata | AKK
